"Nom de l'annonce","Produit","Créateur","Type de contenu","Angle marketing","Hook","Audience","Mois","Nom Ad Set","Nom Campagne","Statut","Date de lancement","Personnes touchées","Impressions","Fréquence","Clics","Conversions (achats)","Budget dépensé (€)","Revenu estimé (€)","ROAS","CPM (€)","Coût par clic (€)","Taux de clic (%)","Coût par conversion (€)","Taux de conversion (%)","Hook rate (%)","Panier moyen (€)","Lien aperçu","ID Ad Set","ID Annonce"
"Bundle Complet - UGC - Pourquoi j'ai changé d'avis su... - 11","Bundle Complet","Marcus_Fit","UGC","Concentration mentale","Pourquoi j'ai changé d'avis sur les compléments","Intérêt Nutrition","Août 2025","Intérêt Nutrition - Bundle Complet","Campagne Bundle Complet Août 2025","Archivée","2025-08-17","327219","375216","1.15","10451","946","2166.71","119496.97","55.15","5.77","0.21","2.79","2.29","9.05","34.47","126.32","https://www.facebook.com/ads/library/?id=ad_825416","as_369946","ad_825416"
"AG1 Travel Packs - Motion/Vidéo - Je ne peux plus m'en passer... - 12","AG1 Travel Packs","Chris_Endurance","Motion/Vidéo","Performance sportive","Je ne peux plus m'en passer","Broad FR","Novembre 2025","Broad FR - AG1 Travel Packs","Campagne AG1 Travel Packs Novembre 2025","Archivée","2025-11-18","29243","34707","1.19","1212","105","4438.08","9617.15","2.17","127.87","3.66","3.49","42.27","8.66","47.31","91.59","https://www.facebook.com/ads/library/?id=ad_807978","as_106760","ad_807978"
"Vitamine D3+K2 - Podcast - Je ne peux plus m'en passer... - 13","Vitamine D3+K2","Noah_Vitality","Podcast","Concentration mentale","Je ne peux plus m'en passer","Broad FR","Août 2025","Broad FR - Vitamine D3+K2","Campagne Vitamine D3+K2 Août 2025","En pause","2025-08-07","385579","453216","1.18","3237","185","2284.37","17688.90","7.74","5.04","0.71","0.71","12.35","5.72","16.39","95.62","https://www.facebook.com/ads/library/?id=ad_232193","as_352789","ad_232193"
"Shaker - UGC - Le seul complément dont j'ai b... - 14","Shaker","Chris_Endurance","UGC","Santé digestive","Le seul complément dont j'ai besoin","Intérêt Nutrition","Juillet 2025","Intérêt Nutrition - Shaker","Campagne Shaker Juillet 2025","Arrêtée","2025-07-17","261692","326705","1.25","796","78","1430.52","9226.81","6.45","4.38","1.8","0.24","18.34","9.8","17.97","118.29","https://www.facebook.com/ads/library/?id=ad_544358","as_600121","ad_544358"
"Omega-3 - Motion/Vidéo - Ce que je prends chaque matin... - 15","Omega-3","—","Motion/Vidéo","Santé digestive","Ce que je prends chaque matin","LAL Purchasers","Août 2025","LAL Purchasers - Omega-3","Campagne Omega-3 Août 2025","Arrêtée","2025-08-22","35190","54989","1.56","1654","127","296.62","17419.10","58.72","5.39","0.18","3.01","2.34","7.68","34.52","137.16","https://www.facebook.com/ads/library/?id=ad_292730","as_701498","ad_292730"
"Abonnement - Motion/Vidéo - Mon secret énergie révélé... - 16","Abonnement","Ethan_Fuel","Motion/Vidéo","Énergie quotidienne","Mon secret énergie révélé","LAL Purchasers","Juillet 2025","LAL Purchasers - Abonnement","Campagne Abonnement Juillet 2025","En ligne","2025-07-19","315511","488506","1.55","7797","130","134.88","13336.81","98.88","0.28","0.02","1.6","1.04","1.67","34.46","102.59","https://www.facebook.com/ads/library/?id=ad_668532","as_736419","ad_668532"
"Abonnement - Podcast - Mon secret énergie révélé... - 17","Abonnement","Lily_Nutrition","Podcast","Concentration mentale","Mon secret énergie révélé","25-34 ans Fitness","Novembre 2025","25-34 ans Fitness - Abonnement","Campagne Abonnement Novembre 2025","En ligne","2025-11-06","140523","161409","1.15","538","1","4958.65","63.76","0.01","30.72","9.22","0.33","4958.65","0.19","27.24","63.76","https://www.facebook.com/ads/library/?id=ad_910838","as_134206","ad_910838"
"Shaker - Podcast - Le matin parfait commence par.... - 18","Shaker","Lucas_Active","Podcast","Santé digestive","Le matin parfait commence par...","35-44 ans Santé","Août 2025","35-44 ans Santé - Shaker","Campagne Shaker Août 2025","Arrêtée","2025-08-02","206537","299473","1.45","12505","1353","1078.19","120667.28","111.92","3.6","0.09","4.18","0.8","10.82","50.98","89.18","https://www.facebook.com/ads/library/?id=ad_584261","as_180637","ad_584261"
"AG1 Travel Packs - Podcast - Ce que je prends chaque matin... - 19","AG1 Travel Packs","—","Podcast","Anti-fatigue","Ce que je prends chaque matin","Intérêt Nutrition","Octobre 2025","Intérêt Nutrition - AG1 Travel Packs","Campagne AG1 Travel Packs Octobre 2025","Archivée","2025-10-05","242612","403416","1.66","14585","309","4690.57","34220.05","7.3","11.63","0.32","3.62","15.18","2.12","41.89","110.74","https://www.facebook.com/ads/library/?id=ad_631348","as_942135","ad_631348"
"AG1 Travel Packs - Podcast - 30 jours de transformation... - 20","AG1 Travel Packs","Max_Performance","Podcast","Anti-fatigue","30 jours de transformation","25-34 ans Fitness","Septembre 2025","25-34 ans Fitness - AG1 Travel Packs","Campagne AG1 Travel Packs Septembre 2025","En pause","2025-09-11","103016","154966","1.5","2719","307","4337.65","20388.33","4.7","27.99","1.6","1.75","14.13","11.29","25.25","66.41","https://www.facebook.com/ads/library/?id=ad_626524","as_369770","ad_626524"
"Bundle Complet - Motion/Vidéo - Le matin parfait commence par.... - 21","Bundle Complet","Zoe_Energy","Motion/Vidéo","Nutrition optimale","Le matin parfait commence par...","35-44 ans Santé","Novembre 2025","35-44 ans Santé - Bundle Complet","Campagne Bundle Complet Novembre 2025","Arrêtée","2025-11-28","236906","305907","1.29","10416","364","2513.28","38946.17","15.5","8.22","0.24","3.4","6.9","3.49","55.57","106.99","https://www.facebook.com/ads/library/?id=ad_187718","as_367894","ad_187718"
"Shaker - Témoignage - Pourquoi j'ai changé d'avis su... - 22","Shaker","Lucas_Active","Témoignage","Santé digestive","Pourquoi j'ai changé d'avis sur les compléments","45-54 ans Wellness","Septembre 2025","45-54 ans Wellness - Shaker","Campagne Shaker Septembre 2025","Archivée","2025-09-12","93494","138799","1.48","5048","648","1514.25","41076.11","27.13","10.91","0.3","3.64","2.34","12.84","55.4","63.39","https://www.facebook.com/ads/library/?id=ad_377733","as_122291","ad_377733"
"AG1 Powder - Image statique - Le seul complément dont j'ai b... - 23","AG1 Powder","Noah_Vitality","Image statique","Concentration mentale","Le seul complément dont j'ai besoin","LAL Purchasers","Juillet 2025","LAL Purchasers - AG1 Powder","Campagne AG1 Powder Juillet 2025","En pause","2025-07-17","241481","328769","1.36","7825","774","3026.99","50783.85","16.78","9.21","0.39","2.38","3.91","9.89","28.7","65.61","https://www.facebook.com/ads/library/?id=ad_258839","as_381030","ad_258839"
"Vitamine D3+K2 - Motion/Vidéo - 30 jours de transformation... - 24","Vitamine D3+K2","Lucas_Active","Motion/Vidéo","Anti-fatigue","30 jours de transformation","25-34 ans Fitness","Novembre 2025","25-34 ans Fitness - Vitamine D3+K2","Campagne Vitamine D3+K2 Novembre 2025","Arrêtée","2025-11-16","159448","225729","1.42","7590","19","4322.41","1985.65","0.46","19.15","0.57","3.36","227.5","0.25","29.68","104.51","https://www.facebook.com/ads/library/?id=ad_449493","as_737873","ad_449493"
"Vitamine D3+K2 - UGC - Les 3 raisons pour lesquelles ... - 25","Vitamine D3+K2","Ben_Recovery","UGC","Nutrition optimale","Les 3 raisons pour lesquelles j'adore","45-54 ans Wellness","Juillet 2025","45-54 ans Wellness - Vitamine D3+K2","Campagne Vitamine D3+K2 Juillet 2025","En ligne","2025-07-17","19542","22989","1.18","685","34","1430.97","4275.25","2.99","62.25","2.09","2.98","42.09","4.96","51.24","125.74","https://www.facebook.com/ads/library/?id=ad_133745","as_407891","ad_133745"
"Abonnement - Podcast - Pourquoi j'ai changé d'avis su... - 26","Abonnement","Chloe_Clean","Podcast","Bien-être général","Pourquoi j'ai changé d'avis sur les compléments","25-34 ans Fitness","Septembre 2025","25-34 ans Fitness - Abonnement","Campagne Abonnement Septembre 2025","En pause","2025-09-15","194694","260717","1.34","12242","1094","2880.47","158834.52","55.14","11.05","0.24","4.7","2.63","8.94","16.8","145.19","https://www.facebook.com/ads/library/?id=ad_334321","as_711428","ad_334321"
"Omega-3 - Témoignage - Le matin parfait commence par.... - 27","Omega-3","Chris_Endurance","Témoignage","Santé digestive","Le matin parfait commence par...","35-44 ans Santé","Octobre 2025","35-44 ans Santé - Omega-3","Campagne Omega-3 Octobre 2025","En pause","2025-10-01","166289","184872","1.11","6040","642","4401.73","74336.56","16.89","23.81","0.73","3.27","6.86","10.63","15.21","115.79","https://www.facebook.com/ads/library/?id=ad_873845","as_997397","ad_873845"
"Shaker - Podcast - Je ne peux plus m'en passer... - 28","Shaker","Lucas_Active","Podcast","Concentration mentale","Je ne peux plus m'en passer","Intérêt Nutrition","Octobre 2025","Intérêt Nutrition - Shaker","Campagne Shaker Octobre 2025","Archivée","2025-10-04","41028","49672","1.21","1707","59","1605.73","6062.75","3.78","32.33","0.94","3.44","27.22","3.46","40.6","102.76","https://www.facebook.com/ads/library/?id=ad_379674","as_127039","ad_379674"
"Omega-3 - Motion/Vidéo - Pourquoi j'ai changé d'avis su... - 29","Omega-3","Jake_Strong","Motion/Vidéo","Bien-être général","Pourquoi j'ai changé d'avis sur les compléments","Broad FR","Novembre 2025","Broad FR - Omega-3","Campagne Omega-3 Novembre 2025","En pause","2025-11-02","282270","416445","1.48","1288","46","3377.69","4018.40","1.19","8.11","2.62","0.31","73.43","3.57","32.15","87.36","https://www.facebook.com/ads/library/?id=ad_657107","as_184011","ad_657107"
"Shaker - UGC - Pourquoi j'ai changé d'avis su... - 30","Shaker","Ben_Recovery","UGC","Performance sportive","Pourquoi j'ai changé d'avis sur les compléments","45-54 ans Wellness","Septembre 2025","45-54 ans Wellness - Shaker","Campagne Shaker Septembre 2025","Archivée","2025-09-24","76508","101923","1.33","1359","77","744.24","5416.10","7.28","7.3","0.55","1.33","9.67","5.67","54.3","70.34","https://www.facebook.com/ads/library/?id=ad_379485","as_813695","ad_379485"
"AG1 Travel Packs - Podcast - Le matin parfait commence par.... - 31","AG1 Travel Packs","Ethan_Fuel","Podcast","Santé digestive","Le matin parfait commence par...","LAL Purchasers","Novembre 2025","LAL Purchasers - AG1 Travel Packs","Campagne AG1 Travel Packs Novembre 2025","En ligne","2025-11-04","286180","473103","1.65","12004","1648","1795.36","183457.84","102.18","3.79","0.15","2.54","1.09","13.73","29.07","111.32","https://www.facebook.com/ads/library/?id=ad_712100","as_195697","ad_712100"
"Shaker - Podcast - Mon secret énergie révélé... - 32","Shaker","Ethan_Fuel","Podcast","Anti-fatigue","Mon secret énergie révélé","25-34 ans Fitness","Novembre 2025","25-34 ans Fitness - Shaker","Campagne Shaker Novembre 2025","Arrêtée","2025-11-10","387660","474140","1.22","8315","538","4160.55","40435.55","9.72","8.77","0.5","1.75","7.73","6.47","28.2","75.16","https://www.facebook.com/ads/library/?id=ad_459421","as_972166","ad_459421"
"AG1 Powder - UGC - Pourquoi j'ai changé d'avis su... - 33","AG1 Powder","Olivia_Green","UGC","Anti-fatigue","Pourquoi j'ai changé d'avis sur les compléments","45-54 ans Wellness","Août 2025","45-54 ans Wellness - AG1 Powder","Campagne AG1 Powder Août 2025","Arrêtée","2025-08-24","56220","65600","1.17","2881","147","1470.81","10688.64","7.27","22.42","0.51","4.39","10.01","5.1","57.2","72.71","https://www.facebook.com/ads/library/?id=ad_140801","as_545215","ad_140801"
"Shaker - UGC - Je ne peux plus m'en passer... - 34","Shaker","Chris_Endurance","UGC","Énergie quotidienne","Je ne peux plus m'en passer","Retargeting 30j","Septembre 2025","Retargeting 30j - Shaker","Campagne Shaker Septembre 2025","En pause","2025-09-16","61511","73958","1.2","286","30","656.65","3557.56","5.42","8.88","2.3","0.39","21.89","10.49","25.85","118.59","https://www.facebook.com/ads/library/?id=ad_513865","as_525605","ad_513865"
"Omega-3 - UGC - Mon secret énergie révélé... - 35","Omega-3","—","UGC","Immunité renforcée","Mon secret énergie révélé","LAL Purchasers","Septembre 2025","LAL Purchasers - Omega-3","Campagne Omega-3 Septembre 2025","En pause","2025-09-20","101960","161485","1.58","2000","154","2767.59","14505.40","5.24","17.14","1.38","1.24","17.97","7.7","39.79","94.19","https://www.facebook.com/ads/library/?id=ad_140315","as_638415","ad_140315"
"Omega-3 - Motion/Vidéo - Les 3 raisons pour lesquelles ... - 36","Omega-3","Ben_Recovery","Motion/Vidéo","Nutrition optimale","Les 3 raisons pour lesquelles j'adore","Intérêt Nutrition","Août 2025","Intérêt Nutrition - Omega-3","Campagne Omega-3 Août 2025","Archivée","2025-08-16","164886","208324","1.26","2196","228","3952.81","26043.11","6.59","18.97","1.8","1.05","17.34","10.38","36.51","114.22","https://www.facebook.com/ads/library/?id=ad_121751","as_758860","ad_121751"
"AG1 Powder - Témoignage - Ce que je prends chaque matin... - 37","AG1 Powder","Sophia_Wellness","Témoignage","Énergie quotidienne","Ce que je prends chaque matin","Broad FR","Octobre 2025","Broad FR - AG1 Powder","Campagne AG1 Powder Octobre 2025","Arrêtée","2025-10-26","39102","56187","1.44","299","26","3374.68","3695.44","1.1","60.06","11.29","0.53","129.8","8.7","26.32","142.13","https://www.facebook.com/ads/library/?id=ad_536124","as_372513","ad_536124"
"Vitamine D3+K2 - Témoignage - Le matin parfait commence par.... - 38","Vitamine D3+K2","Mia_Mindful","Témoignage","Énergie quotidienne","Le matin parfait commence par...","Retargeting 30j","Octobre 2025","Retargeting 30j - Vitamine D3+K2","Campagne Vitamine D3+K2 Octobre 2025","Arrêtée","2025-10-23","201213","286149","1.42","7022","414","4223.02","46409.84","10.99","14.76","0.6","2.45","10.2","5.9","52.68","112.10","https://www.facebook.com/ads/library/?id=ad_235558","as_959537","ad_235558"
"AG1 Travel Packs - Motion/Vidéo - Le matin parfait commence par.... - 39","AG1 Travel Packs","Zoe_Energy","Motion/Vidéo","Concentration mentale","Le matin parfait commence par...","35-44 ans Santé","Octobre 2025","35-44 ans Santé - AG1 Travel Packs","Campagne AG1 Travel Packs Octobre 2025","Arrêtée","2025-10-07","282601","363158","1.29","1643","191","965.93","24267.92","25.12","2.66","0.59","0.45","5.06","11.63","31.75","127.06","https://www.facebook.com/ads/library/?id=ad_969962","as_766560","ad_969962"
"Bundle Complet - UGC - 30 jours de transformation... - 40","Bundle Complet","Zoe_Energy","UGC","Concentration mentale","30 jours de transformation","LAL Purchasers","Octobre 2025","LAL Purchasers - Bundle Complet","Campagne Bundle Complet Octobre 2025","Archivée","2025-10-19","67960","77783","1.14","1247","164","1275.95","12361.59","9.69","16.4","1.02","1.6","7.78","13.15","18.89","75.38","https://www.facebook.com/ads/library/?id=ad_206237","as_459244","ad_206237"
"AG1 Travel Packs - Motion/Vidéo - Pourquoi j'ai changé d'avis su... - 41","AG1 Travel Packs","—","Motion/Vidéo","Énergie quotidienne","Pourquoi j'ai changé d'avis sur les compléments","18-24 ans Étudiants","Septembre 2025","18-24 ans Étudiants - AG1 Travel Packs","Campagne AG1 Travel Packs Septembre 2025","En pause","2025-09-03","200357","234101","1.17","9362","132","2552.42","14740.87","5.78","10.9","0.27","4","19.34","1.41","25.79","111.67","https://www.facebook.com/ads/library/?id=ad_687036","as_533249","ad_687036"
"AG1 Powder - Image statique - Pourquoi j'ai changé d'avis su... - 42","AG1 Powder","Olivia_Green","Image statique","Concentration mentale","Pourquoi j'ai changé d'avis sur les compléments","Retargeting 30j","Octobre 2025","Retargeting 30j - AG1 Powder","Campagne AG1 Powder Octobre 2025","En ligne","2025-10-04","29956","33402","1.12","1152","104","4861.76","6416.71","1.32","145.55","4.22","3.45","46.75","9.03","43.97","61.70","https://www.facebook.com/ads/library/?id=ad_848536","as_934630","ad_848536"
"AG1 Powder - Motion/Vidéo - Ce que je prends chaque matin... - 43","AG1 Powder","Marcus_Fit","Motion/Vidéo","Énergie quotidienne","Ce que je prends chaque matin","Intérêt Nutrition","Novembre 2025","Intérêt Nutrition - AG1 Powder","Campagne AG1 Powder Novembre 2025","Arrêtée","2025-11-01","342814","418609","1.22","12904","988","404.63","78044.97","192.88","0.97","0.03","3.08","0.41","7.66","19.71","78.99","https://www.facebook.com/ads/library/?id=ad_536437","as_955584","ad_536437"
"Abonnement - Image statique - Ce que je prends chaque matin... - 44","Abonnement","Mia_Mindful","Image statique","Concentration mentale","Ce que je prends chaque matin","Retargeting 30j","Août 2025","Retargeting 30j - Abonnement","Campagne Abonnement Août 2025","En pause","2025-08-23","300964","453676","1.51","3756","459","2864.10","68517.41","23.92","6.31","0.76","0.83","6.24","12.22","50.1","149.28","https://www.facebook.com/ads/library/?id=ad_428276","as_492156","ad_428276"
"Shaker - Podcast - Le seul complément dont j'ai b... - 45","Shaker","Chloe_Clean","Podcast","Nutrition optimale","Le seul complément dont j'ai besoin","18-24 ans Étudiants","Septembre 2025","18-24 ans Étudiants - Shaker","Campagne Shaker Septembre 2025","En ligne","2025-09-05","336895","410908","1.22","18289","494","1009.78","42722.64","42.31","2.46","0.06","4.45","2.04","2.7","43.17","86.48","https://www.facebook.com/ads/library/?id=ad_945201","as_477761","ad_945201"
"Vitamine D3+K2 - Podcast - Le matin parfait commence par.... - 46","Vitamine D3+K2","Mia_Mindful","Podcast","Énergie quotidienne","Le matin parfait commence par...","Broad FR","Août 2025","Broad FR - Vitamine D3+K2","Campagne Vitamine D3+K2 Août 2025","En ligne","2025-08-03","60151","73978","1.23","188","2","2483.87","264.43","0.11","33.58","13.21","0.25","1241.93","1.06","57.51","132.22","https://www.facebook.com/ads/library/?id=ad_277271","as_218681","ad_277271"
"Vitamine D3+K2 - Image statique - Pourquoi j'ai changé d'avis su... - 47","Vitamine D3+K2","Marcus_Fit","Image statique","Bien-être général","Pourquoi j'ai changé d'avis sur les compléments","45-54 ans Wellness","Septembre 2025","45-54 ans Wellness - Vitamine D3+K2","Campagne Vitamine D3+K2 Septembre 2025","En pause","2025-09-09","309641","474736","1.53","20461","145","1372.49","20984.78","15.29","2.89","0.07","4.31","9.47","0.71","40.39","144.72","https://www.facebook.com/ads/library/?id=ad_437044","as_894224","ad_437044"
"AG1 Powder - Témoignage - Le seul complément dont j'ai b... - 48","AG1 Powder","Lily_Nutrition","Témoignage","Nutrition optimale","Le seul complément dont j'ai besoin","18-24 ans Étudiants","Novembre 2025","18-24 ans Étudiants - AG1 Powder","Campagne AG1 Powder Novembre 2025","En ligne","2025-11-22","90280","116091","1.29","4752","287","703.62","39787.68","56.55","6.06","0.15","4.09","2.45","6.04","18.74","138.63","https://www.facebook.com/ads/library/?id=ad_387599","as_560500","ad_387599"
"Omega-3 - Podcast - Ce que je prends chaque matin... - 49","Omega-3","Lucas_Active","Podcast","Anti-fatigue","Ce que je prends chaque matin","25-34 ans Fitness","Septembre 2025","25-34 ans Fitness - Omega-3","Campagne Omega-3 Septembre 2025","En ligne","2025-09-28","21492","35436","1.65","243","35","3924.23","4717.34","1.2","110.74","16.15","0.69","112.12","14.4","34.43","134.78","https://www.facebook.com/ads/library/?id=ad_341573","as_775612","ad_341573"
"AG1 Travel Packs - UGC - 30 jours de transformation... - 50","AG1 Travel Packs","Ben_Recovery","UGC","Nutrition optimale","30 jours de transformation","Retargeting 30j","Septembre 2025","Retargeting 30j - AG1 Travel Packs","Campagne AG1 Travel Packs Septembre 2025","En pause","2025-09-03","256007","344429","1.35","4890","444","4271.62","64093.06","15","12.4","0.87","1.42","9.62","9.08","42.93","144.35","https://www.facebook.com/ads/library/?id=ad_514245","as_910280","ad_514245"
"AG1 Powder - Témoignage - Pourquoi j'ai changé d'avis su... - 51","AG1 Powder","Jake_Strong","Témoignage","Bien-être général","Pourquoi j'ai changé d'avis sur les compléments","Broad FR","Août 2025","Broad FR - AG1 Powder","Campagne AG1 Powder Août 2025","En pause","2025-08-28","196259","255646","1.3","6904","327","4246.58","37241.34","8.77","16.61","0.62","2.7","12.99","4.74","23.39","113.89","https://www.facebook.com/ads/library/?id=ad_673640","as_398337","ad_673640"
"Vitamine D3+K2 - UGC - Pourquoi j'ai changé d'avis su... - 52","Vitamine D3+K2","Noah_Vitality","UGC","Anti-fatigue","Pourquoi j'ai changé d'avis sur les compléments","LAL Purchasers","Octobre 2025","LAL Purchasers - Vitamine D3+K2","Campagne Vitamine D3+K2 Octobre 2025","En pause","2025-10-13","329741","447240","1.36","13627","510","3608.20","63706.47","17.66","8.07","0.26","3.05","7.07","3.74","41.08","124.91","https://www.facebook.com/ads/library/?id=ad_222828","as_996254","ad_222828"
"AG1 Travel Packs - Témoignage - Ce que je prends chaque matin... - 53","AG1 Travel Packs","Zoe_Energy","Témoignage","Santé digestive","Ce que je prends chaque matin","25-34 ans Fitness","Septembre 2025","25-34 ans Fitness - AG1 Travel Packs","Campagne AG1 Travel Packs Septembre 2025","Arrêtée","2025-09-05","217963","306444","1.41","12848","52","1173.70","4371.79","3.72","3.83","0.09","4.19","22.57","0.4","54.54","84.07","https://www.facebook.com/ads/library/?id=ad_444434","as_771094","ad_444434"
"Omega-3 - Image statique - Les 3 raisons pour lesquelles ... - 54","Omega-3","Ava_Balance","Image statique","Bien-être général","Les 3 raisons pour lesquelles j'adore","45-54 ans Wellness","Novembre 2025","45-54 ans Wellness - Omega-3","Campagne Omega-3 Novembre 2025","En pause","2025-11-24","195827","292800","1.5","13556","595","4972.49","63629.61","12.8","16.98","0.37","4.63","8.36","4.39","28.46","106.94","https://www.facebook.com/ads/library/?id=ad_137152","as_316617","ad_137152"
"Shaker - Image statique - 30 jours de transformation... - 55","Shaker","Chloe_Clean","Image statique","Nutrition optimale","30 jours de transformation","35-44 ans Santé","Novembre 2025","35-44 ans Santé - Shaker","Campagne Shaker Novembre 2025","Arrêtée","2025-11-06","176174","261212","1.48","6139","589","3583.31","85651.67","23.9","13.72","0.58","2.35","6.08","9.59","31.58","145.42","https://www.facebook.com/ads/library/?id=ad_362017","as_194356","ad_362017"
"Omega-3 - UGC - 30 jours de transformation... - 56","Omega-3","Max_Performance","UGC","Santé digestive","30 jours de transformation","45-54 ans Wellness","Août 2025","45-54 ans Wellness - Omega-3","Campagne Omega-3 Août 2025","Arrêtée","2025-08-15","345383","437013","1.27","15674","1663","3054.88","151347.47","49.54","6.99","0.19","3.59","1.84","10.61","43.77","91.01","https://www.facebook.com/ads/library/?id=ad_533585","as_568543","ad_533585"
